join_date,Demand,Supply,Ambiguous,Total_Modeled_Q,Demand_YoY,Supply_YoY,Ambiguous_YoY,Total_Modeled_YoY,CPI_YoY
2010-01-01,0.0032531252849530294,0.003660833110323123,0,0.0069139583952761525,0.8697899797168953,1.53798683702368,0.021823242206491865,2.429600058947067,2.9189189189189113
2010-04-01,0.004126616256627264,-0.0010552246575849095,0.0027594471516873545,0.005830838750729709,1.1124883361457043,1.0616138431844058,0.2977679573752273,2.4718701367053373,3.1216361679224924
2010-07-01,-1.1805569656687042e-4,0.0011155796604725662,0,9.975239639056959e-4,0.891291747551548,0.9903720215635313,0.2759447151687354,2.157608484283815,2.8784648187633266
2010-10-01,-0.001480358828052451,7.775398680882578e-4,7.826954097180271e-4,7.987644975383389e-5,0.5781327016960973,0.4498727981299035,0.35421425614053814,1.382219755966539,2.757158006362692
2011-01-01,0.0018453774760408114,0.008640498883742565,0,0.010485876359783377,0.4373579208048756,0.9478393754718477,0.35421425614053814,1.7394115524172613,3.256302521008392
2011-04-01,0.004927073574742082,0.003099277688817565,-7.37082452662698e-5,0.007952643018293378,0.5174036526163573,1.3632896101120953,0.07089871644517572,1.9515919791736285,3.549060542797511
2011-07-01,0.0022625246621517337,0.0036436029404196936,-4.709204633562719e-4,0.005435207139215155,0.7554616884882177,1.616091938106808,0.023806670109548525,2.3953602967045744,3.4196891191709877
2011-10-01,9.360432771911368e-4,0.0015053944415209016,0,0.0024414377187120385,0.9971018990125766,1.6888773954500724,-0.05446287086225418,2.6315164236003947,2.992776057791535
2012-01-01,0.0036488593194171468,0.0010633226492440557,0,0.004712181968661203,1.1774500833502102,0.9311597720002214,-0.05446287086225418,2.054146984488177,1.6276703967446737
2012-04-01,0.0037872251622204827,0.004821669565244626,8.198553778500914e-4,0.009428750105315199,1.0634652420980502,1.1033989596429274,0.034893491449381926,2.201757693190359,1.2096774193548487
2012-07-01,0.0013826239091398879,0.008485170550122456,0,0.009867794459262344,0.9754751667968655,1.5875557206132036,0.08198553778500911,2.6450164251950783,2.004008016032066
2012-10-01,6.101912127936534e-4,0.0016309592235357467,0.0017814596731317686,0.004022610109461169,0.9428899603571174,1.6001121988146885,0.26013150509818594,2.803133664269991,2.204408817635284
2013-01-01,0.00422942616588956,2.4153272423190993e-4,1.7727276105556857e-4,0.004648231651177038,1.0009466450043585,1.5179332063134736,0.27785878120374286,2.7967386325215746,2.5025025025025016
2013-04-01,0.0011213766316970455,0.0048653769662057545,-5.528646847792599e-4,0.00543388891312354,0.7343617919520148,1.5223039464095864,0.14058677494080768,2.397252513302409,2.39043824701195
2013-07-01,0.0026569699557437076,0.0035796692997614866,0,0.006236639255505194,0.8617963966123968,1.0317538213734896,0.14058677494080768,2.034136992926694,2.16110019646365
2013-10-01,2.2720502254512307e-4,0.005055724294343809,2.959578161617688e-4,0.005578887133050701,0.8234977775875438,1.3742303284542958,-0.007963410756192288,2.189764695285647,2.7450980392156765
2014-01-01,0.002740979941935739,0.001849044167578391,3.807049959348211e-4,0.004970729105448952,0.6746531551921617,1.534981472788944,0.012379812731732963,2.2220144407128384,2.9296875
2014-04-01,8.862254989936819e-4,0.0036108935056210654,3.181303384349626e-4,0.004815249343049709,0.6511380419218253,1.4095331267304751,0.09947931505315522,2.1601504837054555,3.015564202334642
2014-07-01,3.2004630100134515e-4,8.439544213310001e-4,1.6695823509515822e-4,0.0013309589574275035,0.41744567644758906,1.1359616388874263,0.11617513856267105,1.6695824538976864,2.3076923076923217
2014-10-01,0.0037035930155399207,0.001487737487527481,0,0.005191330503067402,0.765084475747069,0.7791629582057936,0.08657935694649414,1.6308267908993566,1.717557251908386
2015-01-01,2.014092757644924e-4,0.005564999626502888,8.167077211125079e-5,0.005848079674378631,0.5111274091299441,1.1507585040982433,0.05667593456413712,1.7185618477923241,1.3282732447817747
2015-04-01,8.825398127649131e-5,0.0022736020056466355,6.657829061021478e-4,0.003027638893025275,0.4313302573582251,1.0170293541008002,0.09144119133085564,1.5398008027898809,1.5108593012275628
2015-07-01,2.1442930183861452e-4,0.0016995400328803873,0,0.0019139693347190018,0.4207685574419521,1.102587915255739,0.07474536782133982,1.5981018405190308,1.5037593984962294
2015-10-01,0.0011964959599603893,0.002342034609484467,0,0.0035385305694448565,0.17005885188399894,1.1880176274514376,0.07474536782133982,1.4328218471567762,1.6885553470919357
